Info:2020-05-07 19:52:00,651 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 19:52:05,910 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 19:52:07,053 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 19:52:07,058 - common.log_print - INFO - 测试用例1
Info:2020-05-07 19:52:24,929 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 19:52:24,935 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 19:52:35,653 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 19:52:36,769 - common.log_print - INFO - 测试用例1
Info:2020-05-07 19:52:41,030 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:29:29,529 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:29:34,341 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:29:35,460 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:29:35,460 - common.log_print - INFO - 测试用例1
Info:2020-05-07 22:29:39,607 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:29:40,730 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:29:40,865 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:29:41,116 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:29:41,134 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:29:41,264 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:29:41,291 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:29:41,382 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:29:43,674 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:29:43,771 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:39:52,475 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:39:58,506 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:39:59,631 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:39:59,741 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:39:59,943 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:39:59,962 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:40:00,190 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:40:00,207 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:40:00,255 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:40:00,910 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:40:00,949 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-07 22:44:32,417 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-07 22:44:36,095 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-07 22:44:37,222 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-07 22:44:37,321 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-07 22:44:37,518 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-07 22:44:37,535 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-07 22:44:37,654 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-07 22:44:37,669 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-07 22:44:37,732 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-07 22:44:38,366 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-07 22:44:44,724 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-07 22:44:44,725 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-20 15:04:32,405 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-20 15:04:32,427 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-20 15:04:32,491 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-20 15:04:32,507 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-20 15:04:32,556 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-20 15:04:32,570 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-20 15:04:32,649 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-20 15:04:36,063 - common.log_print - INFO - 识别元素【组织链接】
Info:2020-05-20 15:04:36,817 - common.log_print - INFO - 【组织链接】进行点击--success
Info:2020-05-20 15:04:36,846 - common.log_print - INFO - 识别元素【添加用户按钮】
Info:2020-05-20 15:04:37,236 - common.log_print - INFO - 【添加用户按钮】进行点击--success
Info:2020-05-20 15:04:39,416 - common.log_print - INFO - 返回上一页--success
Info:2020-05-20 15:04:39,443 - common.log_print - INFO - 识别元素【删除用户按钮】
Info:2020-05-20 15:04:39,727 - common.log_print - INFO - 【删除用户按钮】进行点击--success
Info:2020-05-20 15:04:41,753 - common.log_print - INFO - 识别元素【取消删除按钮】
Info:2020-05-20 15:04:41,813 - common.log_print - INFO - 【取消删除按钮】进行点击--success
Info:2020-05-27 15:51:59,202 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 15:52:06,132 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 15:52:07,255 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 15:52:07,290 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 15:52:07,345 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 15:52:07,353 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 15:52:07,405 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 15:52:07,415 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 15:52:07,468 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 15:52:09,469 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 15:52:13,574 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 15:52:13,574 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:17:10,777 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:17:16,531 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:17:17,665 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:17:17,685 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:17:17,730 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:17:17,738 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:17:17,787 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:17:17,794 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:17:17,838 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:17:18,435 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:17:22,568 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:17:22,568 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:21:42,224 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:21:46,512 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:21:47,662 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:21:47,681 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:21:47,740 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:21:47,755 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:21:47,819 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:21:47,828 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:21:47,874 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:21:48,437 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:21:52,532 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:21:52,532 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-27 16:22:02,937 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-27 16:22:07,351 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-27 16:22:08,499 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-27 16:22:08,513 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-27 16:22:08,550 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-27 16:22:08,561 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-27 16:22:08,613 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-27 16:22:08,624 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-27 16:22:08,664 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-27 16:22:09,269 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-27 16:22:13,378 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-27 16:22:13,378 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 18:21:36,235 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 18:21:41,333 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 18:21:42,618 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 18:21:42,644 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 18:21:42,718 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 18:21:42,738 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 18:21:42,862 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 18:21:42,875 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 18:21:42,949 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 18:21:44,939 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 18:21:51,299 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 18:21:51,300 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 18:24:31,570 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 18:24:36,101 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 18:24:37,307 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 18:24:37,410 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 18:24:37,560 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 18:24:37,574 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 18:24:37,706 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 18:24:37,723 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 18:24:37,801 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 18:24:38,670 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 18:24:42,821 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 18:24:42,821 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 18:25:07,366 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 18:25:12,148 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 18:25:13,414 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 18:25:13,461 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 18:25:13,695 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 18:25:13,726 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 18:25:13,944 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 18:25:14,006 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 18:25:14,255 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 18:25:15,016 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 18:25:21,487 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 18:25:21,487 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 19:36:55,226 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 19:36:59,825 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 19:37:00,994 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 19:37:01,104 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 19:37:01,167 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 19:37:01,182 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 19:37:01,268 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 19:37:01,284 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 19:37:01,338 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 19:37:01,953 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 19:37:08,305 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 19:37:08,306 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:04:43,105 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:04:46,814 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
